0.83 ,2.07 ,0.25 ,0.00 ,0.00 ,0.00 ,0.00 
0.82 ,2.07 ,0.24 ,0.00 ,0.00 ,0.00 ,0.00 
0.80 ,2.06 ,0.23 ,0.00 ,0.00 ,0.00 ,0.00 
0.79 ,2.04 ,0.22 ,0.00 ,0.00 ,0.00 ,0.00 
0.77 ,2.04 ,0.21 ,0.00 ,0.00 ,0.00 ,0.00 
0.75 ,2.03 ,0.20 ,0.00 ,0.00 ,0.00 ,0.00 
0.74 ,2.02 ,0.19 ,0.00 ,0.00 ,0.00 ,0.00 
0.72 ,2.01 ,0.18 ,0.00 ,0.00 ,0.00 ,0.00 
0.70 ,2.00 ,0.17 ,0.00 ,0.00 ,0.00 ,0.00 
0.69 ,1.99 ,0.16 ,0.00 ,0.00 ,0.00 ,0.00 
0.67 ,1.98 ,0.15 ,0.00 ,0.00 ,0.00 ,0.00 
0.66 ,1.97 ,0.15 ,0.00 ,0.00 ,0.00 ,0.00 
0.65 ,1.97 ,0.14 ,0.00 ,0.00 ,0.00 ,0.00 
0.64 ,1.96 ,0.13 ,0.00 ,0.00 ,0.00 ,0.00 
0.63 ,1.96 ,0.12 ,0.00 ,0.00 ,0.00 ,0.00 
0.62 ,1.95 ,0.12 ,0.00 ,0.00 ,0.00 ,0.00 
0.61 ,1.94 ,0.11 ,0.00 ,0.00 ,0.00 ,0.00 
0.60 ,1.94 ,0.11 ,0.00 ,0.00 ,0.00 ,0.00 
0.59 ,1.93 ,0.10 ,0.00 ,0.00 ,0.00 ,0.00 
0.58 ,1.93 ,0.10 ,0.00 ,0.00 ,0.00 ,0.00 
0.57 ,1.93 ,0.09 ,0.00 ,0.00 ,0.00 ,0.00 
0.56 ,1.92 ,0.09 ,0.00 ,0.00 ,0.00 ,0.00 
0.54 ,1.91 ,0.08 ,0.00 ,0.00 ,0.00 ,0.00 
0.53 ,1.91 ,0.07 ,0.00 ,0.00 ,0.00 ,0.00 
0.53 ,1.90 ,0.05 ,0.00 ,0.00 ,0.00 ,0.00 
0.51 ,1.89 ,0.05 ,0.00 ,0.00 ,0.00 ,0.00 
0.50 ,1.88 ,0.03 ,0.00 ,0.00 ,0.00 ,0.00 
0.48 ,1.87 ,0.03 ,0.00 ,0.00 ,0.00 ,0.00 
0.47 ,1.87 ,0.07 ,0.00 ,0.00 ,0.00 ,0.00 
0.46 ,1.89 ,-0.02 ,0.00 ,0.00 ,0.00 ,0.00 
0.46 ,1.84 ,-0.01 ,0.00 ,0.00 ,0.00 ,0.00 
0.43 ,1.84 ,-0.01 ,0.00 ,0.00 ,0.00 ,0.00 
0.40 ,1.84 ,-0.01 ,0.00 ,0.00 ,0.00 ,0.00 
